playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,decision,cardsLeft,count,result
10,10,3,0,0,7,10,0,0,0,23,17,0,305,-7,Loss
5,10,3,0,0,10,2,4,2,0,18,18,0,298,-4,Push
4,3,6,0,0,11,6,0,0,0,13,17,0,293,-1,Loss
8,8,10,0,0,8,5,6,0,0,26,19,0,287,0,Loss
4,8,6,0,0,1,11,3,3,0,18,18,0,280,2,Push
9,5,5,0,0,10,10,0,0,0,19,20,0,275,2,Loss
7,3,8,0,0,11,9,0,0,0,18,20,0,270,2,Loss
10,4,10,0,0,6,10,6,0,0,24,22,0,264,2,Loss
2,6,5,0,0,1,1,1,10,6,13,19,0,256,2,Loss
6,5,8,0,0,10,3,10,0,0,19,23,0,250,3,Win
3,10,6,0,0,3,9,1,5,0,19,18,0,243,5,Win
5,8,1,0,0,9,6,7,0,0,14,22,0,237,6,Win
1,10,6,0,0,10,8,0,0,0,17,18,0,232,4,Loss
10,4,4,0,0,10,7,0,0,0,18,17,0,227,4,Win
2,5,2,0,0,3,10,5,0,0,9,18,0,221,8,Loss
10,10,3,0,0,6,9,2,0,0,23,17,0,215,9,Loss
2,5,6,0,0,3,11,4,0,0,13,18,0,209,13,Loss
2,10,4,0,0,3,10,10,0,0,16,23,0,203,13,Win
4,8,2,0,0,10,6,3,0,0,14,19,0,410,3,Loss
7,3,10,0,0,7,10,0,0,0,20,17,0,405,2,Win
1,1,11,0,0,10,4,8,0,0,13,22,0,399,-1,Win
10,9,10,0,0,8,2,7,0,0,29,17,0,393,-2,Loss
7,5,10,0,0,11,6,0,0,0,22,17,0,388,-2,Loss
2,10,9,0,0,5,10,5,0,0,21,20,0,382,-1,Win
7,10,2,0,0,10,3,8,0,0,19,21,0,376,-1,Loss
1,6,10,0,0,10,2,2,10,0,17,24,0,369,-2,Win
9,5,5,0,0,6,6,10,0,0,19,22,0,363,1,Win
5,11,4,0,0,11,5,3,0,0,20,19,0,357,3,Win
8,10,6,0,0,10,10,0,0,0,24,20,0,352,1,Loss
5,7,10,0,0,6,10,3,0,0,22,19,0,346,2,Loss
10,8,7,0,0,6,9,4,0,0,25,19,0,340,3,Loss
5,2,11,0,0,10,7,0,0,0,18,17,0,335,3,Win
2,10,4,0,0,10,6,3,0,0,16,19,0,329,5,Loss
8,2,10,0,0,6,10,10,0,0,20,26,0,323,4,Win
10,5,10,0,0,10,5,10,0,0,25,25,0,317,2,Loss
10,2,10,0,0,6,2,10,0,0,22,18,0,311,2,Loss
10,5,7,0,0,3,9,10,0,0,22,22,0,305,2,Loss
6,3,10,0,0,10,10,0,0,0,19,20,0,300,1,Loss
10,4,7,0,0,4,8,10,0,0,21,22,0,294,1,Win
11,6,4,0,0,10,10,0,0,0,21,20,0,289,0,Win
10,10,8,0,0,5,10,5,0,0,28,20,0,283,-1,Loss
3,9,4,0,0,7,10,0,0,0,16,17,0,278,0,Loss
9,5,2,0,0,8,10,0,0,0,16,18,0,273,1,Loss
4,7,6,0,0,1,1,10,5,0,17,17,0,266,1,Push
2,1,9,0,0,8,10,0,0,0,12,18,0,261,0,Loss
9,10,10,0,0,8,6,10,0,0,29,24,0,255,-2,Loss
2,10,4,0,0,11,2,2,2,0,16,17,0,248,1,Loss
10,1,6,0,0,7,9,8,0,0,17,24,0,242,0,Win
10,6,7,0,0,10,10,0,0,0,23,20,0,237,-2,Loss
10,8,10,0,0,8,10,0,0,0,28,18,0,232,-5,Loss
10,2,1,0,0,3,10,10,0,0,13,23,0,226,-7,Win
10,2,4,0,0,10,3,5,0,0,16,18,0,220,-5,Loss
10,10,5,0,0,8,7,7,0,0,25,22,0,214,-6,Loss
10,9,10,0,0,6,9,10,0,0,29,25,0,208,-8,Loss
3,4,7,0,0,10,11,0,0,0,14,21,0,203,-8,Loss
10,3,10,0,0,10,2,10,0,0,23,22,0,410,-2,Loss
8,3,10,0,0,9,6,9,0,0,21,24,0,404,-1,Win
1,9,8,0,0,10,4,10,0,0,18,24,0,398,-3,Win
11,4,4,0,0,5,10,9,0,0,19,24,0,392,-2,Win
10,10,4,0,0,9,2,6,0,0,24,17,0,386,-1,Loss
10,5,6,0,0,7,5,10,0,0,21,22,0,380,0,Win
2,6,5,0,0,11,10,0,0,0,13,21,0,375,1,Loss
5,3,8,0,0,7,10,0,0,0,16,17,0,370,2,Loss
6,5,8,0,0,3,8,3,10,0,19,24,0,363,5,Win
9,3,10,0,0,10,8,0,0,0,22,18,0,358,4,Loss
10,6,10,0,0,10,10,0,0,0,26,20,0,353,1,Loss
10,10,10,0,0,1,3,2,9,6,30,21,0,345,0,Loss
1,10,3,0,0,10,11,0,0,0,14,21,0,340,-3,Loss
1,10,5,0,0,4,10,5,0,0,16,19,0,334,-3,Loss
1,10,4,0,0,1,4,7,10,0,15,22,0,327,-5,Win
6,10,9,0,0,10,10,0,0,0,25,20,0,322,-7,Loss
10,9,10,0,0,10,10,0,0,0,29,20,0,317,-11,Loss
8,6,10,0,0,4,10,2,10,0,24,26,0,310,-11,Loss
6,2,11,0,0,3,6,8,0,0,19,17,0,304,-8,Win
9,10,10,0,0,4,4,11,0,0,29,19,0,298,-9,Loss
10,9,3,0,0,1,5,10,10,0,22,26,0,291,-11,Loss
4,10,5,0,0,4,9,8,0,0,19,21,0,285,-9,Loss
