playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,cardsLeft,result
3,10,4,0,0,10,6,10,0,0,17,26,386,Win
9,6,10,0,0,3,5,4,1,6,25,19,378,Loss
8,2,3,0,0,10,10,0,0,0,13,20,373,Loss
2,5,11,0,0,7,7,4,0,0,18,18,367,Push
8,3,7,0,0,7,7,4,0,0,18,18,361,Push
9,5,10,0,0,9,2,3,3,0,24,17,354,Loss
7,6,8,0,0,5,9,10,0,0,21,24,348,Win
3,10,6,0,0,10,10,0,0,0,19,20,343,Loss
1,9,11,0,0,5,4,7,8,0,21,24,336,Win
8,2,3,0,0,10,10,0,0,0,13,20,331,Loss
9,10,8,0,0,5,5,10,0,0,27,20,325,Loss
6,10,4,0,0,9,9,0,0,0,20,18,320,Win
10,6,6,0,0,10,10,0,0,0,22,20,315,Loss
10,10,10,0,0,4,4,11,0,0,30,19,309,Loss
4,3,10,0,0,10,2,8,0,0,17,20,303,Loss
5,7,9,0,0,9,10,0,0,0,21,19,298,Win
9,10,3,0,0,7,5,2,1,10,22,25,290,Loss
10,9,3,0,0,10,10,0,0,0,22,20,285,Loss
7,6,10,0,0,10,5,10,0,0,23,25,279,Loss
2,10,7,0,0,10,2,9,0,0,19,21,273,Loss
7,10,2,0,0,10,7,0,0,0,19,17,268,Win
9,10,8,0,0,2,3,4,8,0,27,17,261,Loss
3,10,1,0,0,10,6,2,0,0,14,18,255,Loss
10,4,2,0,0,9,8,0,0,0,16,17,250,Loss
6,10,4,0,0,9,8,0,0,0,20,17,245,Win
10,10,10,0,0,3,6,5,1,5,30,20,237,Loss
10,10,1,0,0,4,10,9,0,0,21,23,231,Win
8,7,1,0,0,10,10,0,0,0,16,20,226,Loss
3,3,7,0,0,9,4,1,2,5,13,21,218,Loss
10,2,9,0,0,11,6,0,0,0,21,17,213,Win
10,5,10,0,0,2,6,3,4,5,25,20,205,Loss
10,2,7,0,0,10,3,9,0,0,19,22,410,Win
1,9,7,0,0,5,10,9,0,0,17,24,404,Win
6,7,10,0,0,1,4,9,10,0,23,24,397,Loss
10,5,10,0,0,4,4,4,10,0,25,22,390,Loss
4,3,4,10,0,10,6,10,0,0,21,26,383,Win
10,4,10,0,0,10,5,8,0,0,24,23,377,Loss
1,7,8,0,0,6,10,2,0,0,16,18,371,Loss
10,9,3,0,0,9,11,0,0,0,22,20,366,Loss
10,7,8,0,0,9,8,0,0,0,25,17,361,Loss
10,1,10,0,0,11,4,4,0,0,21,19,355,Win
7,9,1,0,0,6,7,6,0,0,17,19,349,Loss
6,8,10,0,0,7,5,10,0,0,24,22,343,Loss
4,9,1,0,0,7,5,7,0,0,14,19,337,Loss
2,6,8,0,0,10,7,0,0,0,16,17,332,Loss
10,3,3,0,0,10,11,0,0,0,16,21,327,Loss
2,1,10,0,0,5,3,9,0,0,13,17,321,Loss
4,2,10,0,0,3,10,10,0,0,16,23,315,Win
