playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,decision,cardsLeft,count,result
3,8,3,0,0,6,6,9,0,0,14,21,2,296,-4,Loss
10,10,0,0,0,9,4,4,0,0,20,17,2,291,-4,Win
10,10,0,0,0,3,7,7,0,0,20,17,2,286,-5,Win
5,6,10,0,0,10,10,0,0,0,21,20,2,281,-6,Win
10,10,0,0,0,10,3,3,6,0,20,22,2,275,-6,Win
8,8,0,0,0,3,7,11,0,0,16,21,2,270,-6,Loss
8,7,0,0,0,10,3,9,0,0,15,22,2,265,-6,Win
9,2,4,0,0,1,1,10,10,0,15,22,2,258,-8,Win
3,10,0,0,0,4,10,10,0,0,13,24,2,253,-9,Win
7,10,0,0,0,2,9,10,0,0,17,21,2,248,-10,Loss
10,11,0,0,0,10,11,0,0,0,21,21,2,244,-14,Push
11,5,0,0,0,10,2,4,9,0,16,25,2,238,-13,Win
10,9,0,0,0,8,2,10,0,0,19,20,2,233,-14,Loss
10,10,0,0,0,10,6,8,0,0,20,24,2,228,-16,Win
10,5,0,0,0,9,3,2,5,0,15,19,2,222,-13,Loss
11,4,0,0,0,10,4,7,0,0,15,21,2,217,-13,Loss
7,10,0,0,0,11,5,5,0,0,17,21,2,212,-13,Loss
10,4,0,0,0,7,10,0,0,0,14,17,2,208,-14,Loss
2,2,4,10,0,7,2,6,10,0,18,25,2,200,-11,Win
8,10,0,0,0,7,7,9,0,0,18,23,2,411,-1,Win
8,10,0,0,0,4,9,2,9,0,18,24,2,405,0,Win
11,10,0,0,0,5,10,9,0,0,21,24,2,400,-2,Win
7,10,0,0,0,11,10,0,0,0,17,21,2,396,-5,Loss
8,11,0,0,0,6,4,4,10,0,19,24,2,390,-4,Win
10,3,0,0,0,10,2,10,0,0,13,22,2,385,-5,Win
9,3,0,0,0,3,10,2,8,0,12,23,2,379,-3,Win
10,5,0,0,0,3,10,10,0,0,15,23,2,374,-4,Win
10,10,0,0,0,2,4,10,9,0,20,25,2,368,-5,Win
10,8,0,0,0,11,3,3,0,0,18,17,2,363,-5,Win
10,7,0,0,0,4,8,2,10,0,17,24,2,357,-5,Win
11,7,0,0,0,4,6,7,0,0,18,17,2,352,-4,Win
6,10,0,0,0,9,4,2,10,0,16,25,2,346,-3,Win
9,9,0,0,0,9,5,4,0,0,18,18,2,341,-1,Push
10,8,0,0,0,1,11,4,5,0,18,21,2,335,-2,Loss
2,7,11,0,0,5,10,10,0,0,20,25,2,329,-3,Win
10,3,0,0,0,11,10,0,0,0,13,21,2,325,-5,Loss
11,9,0,0,0,2,9,10,0,0,20,21,2,320,-6,Loss
4,4,10,0,0,10,9,0,0,0,18,19,2,315,-6,Loss
7,9,0,0,0,11,4,3,0,0,16,18,2,310,-5,Loss
11,9,0,0,0,3,1,11,2,0,20,17,2,304,-6,Win
10,10,0,0,0,8,7,9,0,0,20,24,2,299,-8,Win
5,7,0,0,0,10,7,0,0,0,12,17,2,295,-8,Loss
10,5,0,0,0,10,4,1,3,0,15,18,2,289,-8,Loss
7,4,6,0,0,9,10,0,0,0,17,19,2,284,-7,Loss
10,8,0,0,0,10,7,0,0,0,18,17,2,280,-9,Win
7,5,0,0,0,10,7,0,0,0,12,17,2,276,-9,Loss
11,6,0,0,0,6,4,2,10,0,17,22,2,270,-7,Win
10,10,0,0,0,6,10,4,0,0,20,20,2,265,-8,Push
8,5,0,0,0,11,7,0,0,0,13,18,2,261,-8,Loss
2,2,9,0,0,4,5,4,4,0,13,17,2,254,-2,Loss
9,8,0,0,0,1,5,10,5,0,17,21,2,248,-2,Loss
2,10,0,0,0,7,6,7,0,0,12,20,2,243,-1,Loss
10,8,0,0,0,9,9,0,0,0,18,18,2,239,-2,Push
2,10,0,0,0,10,7,0,0,0,12,17,2,235,-3,Loss
8,5,0,0,0,11,10,0,0,0,13,21,2,231,-4,Loss
5,10,0,0,0,8,3,5,10,0,15,26,2,225,-3,Win
7,10,0,0,0,10,2,5,0,0,17,17,2,220,-3,Push
10,10,0,0,0,10,2,6,0,0,20,18,2,215,-4,Win
10,3,0,0,0,8,3,3,1,3,13,18,2,208,-2,Loss
10,4,0,0,0,5,7,10,0,0,14,22,2,203,-2,Win
10,10,0,0,0,3,10,10,0,0,20,23,2,411,-3,Win
6,10,0,0,0,4,4,8,10,0,16,26,2,405,-2,Win
10,3,0,0,0,9,10,0,0,0,13,19,2,401,-3,Loss
10,10,0,0,0,10,3,2,3,0,20,18,2,395,-3,Win
7,7,0,0,0,10,6,9,0,0,14,25,2,390,-3,Win
11,4,0,0,0,10,10,0,0,0,15,20,2,386,-5,Loss
10,2,0,0,0,5,5,9,0,0,12,19,2,381,-3,Loss
10,9,0,0,0,5,3,7,1,7,19,23,2,374,-3,Win
5,7,0,0,0,3,7,7,0,0,12,17,2,369,-1,Loss
10,4,0,0,0,10,11,0,0,0,14,21,2,365,-3,Loss
